"","TEAM","HOME_GUEST","W","L","WIN_Ratio","MIN","PTS","FGM","FGA","FG_Ratio","3PM","3PA","3P_Ratio","FTM","FTA","FT_Ratio","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD"
"1","Golden State Warriors","Home",36,5,0.878,48.4,118.8,44.7,87.4,51.1,12.8,31,41.2,16.8,21.7,77.2,9.5,36.4,45.9,32,14.7,9.1,7.7,3.4,18.2,19.2
"2","Cleveland Cavaliers","Home",31,10,0.756,48.5,112.7,41.1,85.4,48.2,13.1,33.7,38.9,17.4,23.8,73.1,9.7,35.4,45,24.6,13,6.9,4.5,3.8,17.2,21
"3","San Antonio Spurs","Home",31,10,0.756,48.2,105.6,39.3,83.1,47.3,9.5,23.7,40.3,17.5,22.1,78.9,9.3,34.3,43.6,25.5,13.5,8.1,6,4.2,17.7,19.8
"4","Washington Wizards","Home",30,11,0.732,48.2,110.4,41.5,86,48.2,9.8,24.2,40.6,17.7,22,80.1,10.5,32.2,42.7,24.8,14.7,8.6,4.3,4.2,21.1,20.4
"5","Houston Rockets","Home",30,11,0.732,48.1,117.2,40.7,88,46.3,14.8,41.5,35.6,21,27.8,75.5,11.3,33.9,45.2,26.2,14.1,8.4,4.4,5,18.9,20.8
"6","Boston Celtics","Home",30,11,0.732,48.1,109.5,39.1,85.8,45.6,12.6,33.6,37.6,18.7,23.1,81.2,9.9,33.4,43.2,26.8,14,7.6,4.6,5.5,19.5,20.3
"7","Utah Jazz","Home",29,12,0.707,48,101.1,36.6,78.1,46.8,10.2,26.4,38.6,17.7,23.8,74.3,8.9,34.3,43.2,19.8,13.5,6.8,4.8,3.6,18.4,20.9
"8","Indiana Pacers","Home",29,12,0.707,48.4,106.9,40.3,85.2,47.3,8.8,23,38.1,17.5,21.6,81,8.7,33.8,42.4,21.7,12.8,8,5.8,5.5,18.8,19.6
"9","LA Clippers","Home",29,12,0.707,48.1,109.6,39.9,82.4,48.4,9.9,26.9,36.9,19.9,26.5,75.2,8.9,34.5,43.4,23.4,13,8.2,4.5,2.7,19.6,22.8
"10","Toronto Raptors","Home",28,13,0.683,48.2,110.9,40.2,84.7,47.5,9.2,23.6,39.1,21.2,26.4,80.5,11.4,33,44.3,19.2,13,8,5.5,4.3,20.7,21
"11","Oklahoma City Thunder","Home",28,13,0.683,48.4,109.5,40.9,87.2,46.9,8.7,25.4,34.1,19.1,25.8,74,11.6,35.2,46.8,21.7,15.1,8,4.9,4.5,20,20.9
"12","Portland Trail Blazers","Home",25,16,0.61,48.7,109.9,40.6,86.7,46.9,11.1,28.6,38.7,17.6,23.1,76,10.2,33.7,43.9,22.1,13.5,7,4.8,5.1,20.2,19.9
"13","Chicago Bulls","Home",25,16,0.61,48.2,103.7,38.6,88,43.9,7.4,21.4,34.8,19.1,23.6,80.9,13,34.1,47,23.7,12.9,8.3,5,4.6,17.4,19.2
