"","Player","Pos","Age","Abb_team","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Team","team_AST","team_FG"
"456","Tiago Splitter","C",32,"PHI",8,0,76,6.6,14.7,0.452,0.9,2.8,0.333,5.7,11.8,0.48,4.3,5.2,0.818,3.8,6.6,10.4,1.9,0.5,0.5,2.8,3.8,18.5,"Philadelphia 76ers",23.8,44.2
"457","Nik Stauskas","SG",23,"PHI",80,27,2188,4.1,10.4,0.396,2.2,5.9,0.368,2,4.5,0.433,2,2.5,0.813,0.3,3.4,3.7,3.1,0.7,0.5,2.1,2.4,12.4,"Philadelphia 76ers",23.8,44.2
"458","Lance Stephenson","SG",26,"NOP",6,0,162,5.8,12.2,0.473,0.2,2.2,0.1,5.6,10,0.556,1.1,1.8,0.625,0.7,3.3,4,6.4,0.4,0.2,2.4,4,12.9,"New Orleans Pelicans",22.8,45
"459","Lance Stephenson","SG",26,"MIN",6,0,67,5.4,11.3,0.476,0,1.1,0,5.4,10.2,0.526,0.5,1.1,0.5,0,5.4,5.4,2.7,0,0,2.1,1.1,11.3,"Minnesota Timberwolves",23.7,46.7
"460","Lance Stephenson","SG",26,"IND",6,0,132,4.9,12,0.409,1.4,2.2,0.625,3.5,9.8,0.361,0.5,0.8,0.667,0.3,6.3,6.5,6.8,0.8,0.5,3,3.3,11.7,"Indiana Pacers",22.5,46.5
"461","Jarnell Stokes","C",23,"DEN",2,0,7,5.1,5.1,1,0,0,NA,5.1,5.1,1,5.1,10.3,0.5,5.1,5.1,10.3,10.3,5.1,0,0,15.4,15.4,"Denver Nuggets",25.3,46.9
"462","Diamond Stone","C",19,"LAC",7,0,24,4.5,19.5,0.231,0,0,NA,4.5,19.5,0.231,6,6,1,1.5,7.5,9,0,0,1.5,3,7.5,15,"LA Clippers",22.5,47.5
"463","Rodney Stuckey","PG",30,"IND",39,0,696,4.7,12.6,0.373,1,3.1,0.317,3.7,9.5,0.391,4.1,5.5,0.748,0.3,4,4.3,4.3,0.8,0,2.7,2.3,14.5,"Indiana Pacers",22.5,46.5
"464","Jared Sullinger","PF",24,"TOR",11,1,118,4.6,14.3,0.319,0.9,5.5,0.167,3.7,8.8,0.414,1.2,2.4,0.5,3.1,5.2,8.2,0.9,1.2,0.3,1.2,5.2,11.3,"Toronto Raptors",18.5,46.4
"465","Edy Tavares","C",24,"ATL",1,0,4,9,9,1,0,0,NA,9,9,1,0,18,0,0,9,9,0,0,0,0,0,18,"Atlanta Hawks",23.6,45.1
"466","Edy Tavares","C",24,"CLE",1,0,24,4.5,6,0.75,0,0,NA,4.5,6,0.75,0,1.5,0,6,9,15,1.5,0,9,3,4.5,9,"Cleveland Cavaliers",22.7,47
"467","Isaiah Taylor","PG",22,"HOU",4,0,52,0.7,4.8,0.143,0,1.4,0,0.7,3.5,0.2,0.7,1.4,0.5,0.7,1.4,2.1,2.1,0.7,0.7,0,4.2,2.1,"Houston Rockets",25.2,46.2
"468","Jeff Teague","PG",28,"IND",82,82,2657,5.4,12.3,0.442,1.2,3.4,0.357,4.2,8.9,0.475,4.9,5.6,0.867,0.4,4,4.5,8.7,1.4,0.4,2.9,2.2,17,"Indiana Pacers",22.5,46.5
"469","Mirza Teletovic","PF",31,"MIL",70,2,1133,5,13.3,0.373,3.3,9.7,0.341,1.7,3.6,0.46,1.1,1.4,0.778,0.3,4.8,5.1,1.5,0.4,0.4,1.2,3.5,14.3,"Milwaukee Bucks",24.2,47.4
"470","Garrett Temple","SG",30,"SAC",65,21,1728,3.8,9,0.424,1.7,4.6,0.373,2.1,4.4,0.476,1.2,1.5,0.784,0.7,3.2,3.8,3.5,1.7,0.6,1.6,2.9,10.5,"Sacramento Kings",22.5,46.1
"471","Jason Terry","SG",39,"MIL",74,0,1365,2.8,6.4,0.432,1.9,4.5,0.427,0.8,1.9,0.444,0.6,0.8,0.828,0.4,2.4,2.8,2.6,1.2,0.5,0.9,2.5,8.1,"Milwaukee Bucks",24.2,47.4
"472","Isaiah Thomas","PG",27,"BOS",76,76,2569,9.6,20.6,0.463,3.4,9.1,0.379,6.1,11.6,0.528,8.3,9.1,0.909,0.6,2.3,2.9,6.3,1,0.2,2.9,2.3,30.8,"Boston Celtics",25.2,45.4
"473","Lance Thomas","PF",28,"NYK",46,15,968,3.6,9.1,0.398,1.4,3.2,0.447,2.2,5.9,0.371,1.6,1.9,0.843,1.2,4.1,5.3,1.3,0.8,0.2,0.9,3.2,10.2,"New York Knicks",21.8,44.7
"474","Hollis Thompson","SG",25,"PHI",31,1,561,4.2,10.2,0.415,1.7,4.6,0.366,2.6,5.6,0.455,0.8,1.3,0.65,1,4.4,5.4,1.7,0.9,0.4,0.6,3.5,11,"Philadelphia 76ers",23.8,44.2
"475","Hollis Thompson","SG",25,"NOP",9,8,191,2.1,7.7,0.268,1.1,4.5,0.25,0.9,3.2,0.294,1.1,1.7,0.667,0.8,4.5,5.3,1.7,1.1,0,0.4,2.6,6.4,"New Orleans Pelicans",22.8,45
"476","Klay Thompson","SG",26,"GSW",78,78,2649,8.8,18.7,0.468,3.6,8.8,0.414,5.1,9.9,0.516,2.5,3,0.853,0.7,3.2,3.9,2.2,0.9,0.5,1.7,1.9,23.7,"Golden State Warriors",30.4,49.5
"477","Tristan Thompson","C",25,"CLE",78,78,2336,4,6.7,0.6,0,0,0,4,6.7,0.604,1.6,3.3,0.498,4.4,6.6,11,1.2,0.6,1.3,1,2.7,9.7,"Cleveland Cavaliers",22.7,47
"478","Marcus Thornton","SG",29,"WAS",33,1,575,5.3,13.1,0.4,1.8,5,0.35,3.5,8.1,0.431,1.4,1.7,0.852,1.4,3.4,4.8,2.6,1.2,0.2,1.6,3,13.7,"Washington Wizards",23.9,47.5
"479","Mike Tobey","C",22,"CHO",2,0,25,1.4,5.8,0.25,0,0,NA,1.4,5.8,0.25,0,0,NA,2.9,1.4,4.3,1.4,0,0,1.4,2.9,2.9,"Charlotte Hornets",23.1,44.2
"480","Anthony Tolliver","PF",31,"SAC",65,9,1477,3.8,8.6,0.442,2.2,5.6,0.391,1.6,2.9,0.537,1.5,2,0.744,1.2,4.5,5.8,1.9,0.8,0.5,1.4,2.7,11.2,"Sacramento Kings",22.5,46.1
"481","Axel Toupane","SF",24,"MIL",2,0,6,0,6,0,0,6,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,6,0,"Milwaukee Bucks",24.2,47.4
"482","Axel Toupane","SF",24,"NOP",2,0,41,4.4,7,0.625,0.9,2.6,0.333,3.5,4.4,0.8,0,0,NA,0,0.9,0.9,0,0.9,0.9,0,4.4,9.7,"New Orleans Pelicans",22.8,45
"483","Karl-Anthony Towns","C",21,"MIN",82,82,3030,9.5,17.6,0.542,1.2,3.3,0.367,8.3,14.3,0.582,4.2,5.1,0.832,3.5,8.4,12,2.6,0.7,1.2,2.5,2.9,24.5,"Minnesota Timberwolves",23.7,46.7
"484","P.J. Tucker","SF",31,"PHO",57,17,1627,3.3,7.8,0.415,1,3,0.338,2.2,4.8,0.463,1.3,1.7,0.792,2.1,5.5,7.6,1.6,1.9,0.3,1.2,3.2,8.9,"Phoenix Suns",19.6,45
"485","P.J. Tucker","SF",31,"TOR",24,4,609,3.1,7.6,0.406,1.4,3.5,0.4,1.7,4,0.412,0.7,0.9,0.688,1.4,6.3,7.6,1.5,1.8,0.3,0.8,3.1,8.2,"Toronto Raptors",18.5,46.4
"486","Evan Turner","SF",28,"POR",65,12,1658,5.1,12,0.426,0.7,2.6,0.263,4.4,9.4,0.47,1.8,2.2,0.825,0.8,4.6,5.4,4.5,1.2,0.5,2.2,2.6,12.7,"Portland Trail Blazers",21.1,45.9
"487","Myles Turner","C",20,"IND",81,81,2541,6.3,12.3,0.511,0.6,1.6,0.348,5.7,10.7,0.536,3.5,4.3,0.809,2,6.4,8.3,1.5,1,2.4,1.5,3.7,16.6,"Indiana Pacers",22.5,46.5
"488","Beno Udrih","PG",34,"DET",39,0,560,5.9,12.7,0.467,0.7,2.1,0.344,5.2,10.6,0.491,2.1,2.2,0.941,0.4,3.3,3.7,8.4,0.8,0,2.3,1.9,14.6,"Detroit Pistons",21.1,44.9
"489","Tyler Ulis","PG",21,"PHO",61,15,1123,5.9,14,0.421,0.7,2.5,0.266,5.2,11.5,0.455,1.8,2.3,0.775,0.6,2.4,3,7.2,1.5,0.2,2.5,2.3,14.2,"Phoenix Suns",19.6,45
"490","Jarrod Uthoff","PF",23,"DAL",9,0,115,5,11.9,0.421,0.9,2.8,0.333,4.1,9.1,0.448,1.6,2.2,0.714,2.5,4.4,6.9,2.8,0.6,1.3,0.9,2.5,12.5,"Dallas Mavericks",20.8,44
"491","Jonas Valanciunas","C",24,"TOR",80,80,2066,6.8,12.2,0.557,0,0,0.5,6.8,12.2,0.557,3.1,3.8,0.811,3.9,9.3,13.2,1,0.6,1.1,1.8,3.8,16.7,"Toronto Raptors",18.5,46.4
"492","Denzel Valentine","SG",23,"CHI",57,0,976,3.8,10.6,0.354,2.7,7.7,0.351,1.1,3,0.363,0.5,0.7,0.778,0.4,5.2,5.6,2.3,1.1,0.3,1.8,3.2,10.7,"Chicago Bulls",22.6,44.4
"493","Fred VanVleet","PG",22,"TOR",37,0,294,4.8,13.6,0.351,1.3,3.6,0.379,3.4,10,0.341,2.2,2.7,0.818,0.5,4.7,5.1,4.3,2,0.4,1.8,4.4,13.1,"Toronto Raptors",18.5,46.4
"494","Anderson Varejao","C",34,"GSW",14,1,92,2,5.5,0.357,0,0,NA,2,5.5,0.357,3.1,4.3,0.727,4.7,5.9,10.6,3.9,1.2,1.2,3.1,6.3,7,"Golden State Warriors",30.4,49.5
"495","Greivis Vasquez","PG",30,"BRK",3,0,39,1.8,7.4,0.25,0.9,2.8,0.333,0.9,4.6,0.2,1.8,2.8,0.667,0,1.8,1.8,4.6,0.9,0.9,0.9,5.5,6.5,"Brooklyn Nets",21.4,44.4
"496","Rashad Vaughn","SG",20,"MIL",41,2,458,4.5,12.3,0.365,2,6.4,0.321,2.4,5.9,0.413,0.2,0.4,0.4,0.3,3.5,3.9,1.8,1.5,0.8,1.1,2.5,11.2,"Milwaukee Bucks",24.2,47.4
