"","Player","Pos","Age","Abb_team","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Team","team_AST","team_FG"
"522","Lou Williams","SG",30,"HOU",23,0,591,6.2,16.1,0.386,2.5,7.9,0.318,3.7,8.2,0.452,6,6.9,0.867,0.7,3.5,4.3,3.4,0.9,0.5,2.4,1.5,20.9,"Houston Rockets",25.2,46.2
"523","Marvin Williams","PF",30,"CHO",76,76,2295,4.7,11,0.422,1.9,5.6,0.35,2.7,5.5,0.494,2.1,2.4,0.873,1.4,6.4,7.8,1.7,0.9,0.8,0.9,2.1,13.3,"Charlotte Hornets",23.1,44.2
"524","Reggie Williams","SF",30,"NOP",6,0,79,3.6,10.5,0.348,2.3,5,0.455,1.4,5.5,0.25,2.7,3.2,0.857,0.9,1.8,2.7,1.8,1.4,0,0,0.9,12.3,"New Orleans Pelicans",22.8,45
"525","Troy Williams","SF",22,"MEM",24,13,418,4.4,10.6,0.415,0.9,3.5,0.244,3.5,7.1,0.5,1.3,2.2,0.6,0.5,3.4,3.9,1.6,2.1,0.8,2.2,3.6,10.9,"Memphis Grizzlies",21.3,43.5
"526","Troy Williams","SF",22,"HOU",6,3,139,5.7,11.4,0.5,2.1,5.4,0.381,3.6,6,0.609,1.6,1.8,0.857,2.3,3.9,6.2,1.6,0.8,0.3,1.6,4.7,15,"Houston Rockets",25.2,46.2
"527","Kyle Wiltjer","PF",24,"HOU",14,0,44,3.3,11.5,0.286,3.3,10.6,0.308,0,0.8,0,0.8,1.6,0.5,3.3,4.9,8.2,1.6,2.5,0.8,4.1,3.3,10.6,"Houston Rockets",25.2,46.2
"528","Justise Winslow","SF",20,"MIA",18,15,625,4.6,13,0.356,0.4,2,0.2,4.2,10.9,0.384,1.7,2.7,0.617,1.3,4.1,5.4,3.8,1.5,0.3,1.9,3,11.3,"Miami Heat",21.2,45.5
"529","Jeff Withey","C",26,"UTA",51,1,432,4.6,8.6,0.534,0,0.1,0,4.6,8.5,0.539,3,4,0.75,4.3,5.7,10.1,0.6,1.3,2.7,1.2,4.3,12.2,"Utah Jazz",20.1,46.6
"530","Christian Wood","PF",21,"CHO",13,0,107,4,7.7,0.522,0,1.7,0,4,6.1,0.667,3.7,5,0.733,4.7,5,9.8,0.7,1,2,2.4,3.7,11.8,"Charlotte Hornets",23.1,44.2
"531","Metta World Peace","SF",37,"LAL",25,2,160,4.3,15.3,0.279,2,8.6,0.237,2.3,6.8,0.333,2.3,3.6,0.625,1.1,3.4,4.5,2.5,2.3,0.5,1.6,4.1,12.8,"Los Angeles Lakers",20.9,45
"532","Brandan Wright","PF",29,"MEM",28,5,447,6.7,10.9,0.615,0,0.1,0,6.7,10.8,0.619,1.9,2.8,0.657,2.5,3.8,6.3,1.2,0.9,1.6,0.8,3.4,15.2,"Memphis Grizzlies",21.3,43.5
"533","Delon Wright","PG",24,"TOR",27,0,446,4,9.4,0.422,0.8,2.4,0.333,3.1,6.9,0.453,3.4,4.4,0.764,1.3,2.6,3.9,4.6,2.2,0.9,2,2.5,12.1,"Toronto Raptors",18.5,46.4
"534","James Young","SG",21,"BOS",29,0,220,4.1,9.5,0.431,2,5.7,0.343,2.1,3.8,0.565,1,1.5,0.667,1,3.3,4.3,0.7,1.6,0.3,0.7,2.5,11.1,"Boston Celtics",25.2,45.4
"535","Joe Young","PG",24,"IND",33,0,135,6.9,19.2,0.361,1.3,6.1,0.217,5.6,13.1,0.429,2.9,4,0.733,0.3,4.3,4.5,4,1.1,0,1.3,1.3,18.1,"Indiana Pacers",22.5,46.5
"536","Nick Young","SG",31,"LAL",60,60,1556,6.3,14.6,0.43,3.9,9.7,0.404,2.4,4.9,0.481,1.8,2.1,0.856,0.6,2.6,3.2,1.3,0.9,0.3,0.8,3.2,18.3,"Los Angeles Lakers",20.9,45
"537","Thaddeus Young","PF",28,"IND",74,74,2237,5.8,11.1,0.527,0.7,1.9,0.381,5.1,9.2,0.557,0.7,1.4,0.523,2.1,5.1,7.2,2,1.8,0.5,1.5,2.2,13.1,"Indiana Pacers",22.5,46.5
"538","Cody Zeller","PF",24,"CHO",62,58,1725,5.3,9.2,0.571,0,0,0,5.3,9.2,0.572,2.8,4.1,0.679,2.8,5.6,8.5,2.1,1.3,1.2,1.4,3.9,13.3,"Charlotte Hornets",23.1,44.2
"539","Tyler Zeller","C",27,"BOS",51,5,525,5.3,10.8,0.494,0,0.1,0,5.3,10.8,0.497,1.5,2.7,0.564,2.9,5.6,8.5,2.9,0.5,1.4,1.4,4.2,12.2,"Boston Celtics",25.2,45.4
"540","Stephen Zimmerman","C",20,"ORL",19,0,108,3.3,10.3,0.323,0,0,NA,3.3,10.3,0.323,1,1.7,0.6,3.7,8,11.7,1.3,0.7,1.7,1,5.7,7.7,"Orlando Magic",22.2,44
"541","Paul Zipser","SF",22,"CHI",44,18,843,3.8,9.4,0.398,1.4,4.2,0.333,2.3,5.2,0.451,1.3,1.7,0.775,0.6,4.7,5.3,1.5,0.6,0.7,1.7,3.3,10.2,"Chicago Bulls",22.6,44.4
"542","Ivica Zubac","C",19,"LAL",38,11,609,7.4,14.1,0.529,0,0.2,0,7.4,13.9,0.536,1.9,2.9,0.653,2.4,7,9.4,1.8,0.8,2,1.8,3.9,16.8,"Los Angeles Lakers",20.9,45
