,Player,Pos,Age,Team,Abb_team,MP,PTS,AST,FG,FT,X3P,FGA,TOV,FTA,TRB,ORB,BLK,STL,PF,team_AST,team_FG,Pace,pace_adjustment,PER_value
26,Leandro Barbosa,SG,34,Phoenix Suns,PHO,963,15.7,3,6.4,1.5,1.3,14.7,1.8,1.7,3.9,0.6,0.3,1.2,3.1,19.6,45,100.3,0.96111665,0.008843294
27,J.J. Barea,PG,32,Dallas Mavericks,DAL,771,17.8,9,6.6,2.1,2.5,16,2.9,2.4,3.9,0.4,0,0.7,1.4,20.8,44,92.2,1.045553145,0.016707801
28,Harrison Barnes,PF,24,Dallas Mavericks,DAL,2803,19.5,1.5,7.7,3.1,1,16.4,1.3,3.6,5.1,1.2,0.2,0.8,1.6,20.8,44,92.2,1.045553145,0.004330446
29,Matt Barnes,SF,36,Golden State Warriors,GSW,410,10,4,3.3,1.8,1.6,7.9,2.1,2,8,1.3,0.8,1.1,4.1,30.4,49.5,99.8,0.965931864,0.019631673
30,Will Barton,SG,26,Denver Nuggets,DEN,1705,17.3,4.3,6.2,3,1.8,14.1,2,4,5.5,1.2,0.6,1,2.3,25.3,46.9,98.3,0.980671414,0.006567193
31,Brandon Bass,PF,31,LA Clippers,LAC,577,18.2,1.3,6.7,4.8,0.1,11.6,1.8,5.5,8,2.7,0.7,0.9,2.8,22.5,47.5,96.1,1.003121748,0.024855852
32,Nicolas Batum,SG,28,Charlotte Hornets,CHO,2617,16,6.3,5.4,3.3,1.9,13.4,2.7,3.9,6.6,0.6,0.4,1.2,1.5,23.1,44.2,95.7,1.007314525,0.004387731
33,Jerryd Bayless,PG,28,Philadelphia 76ers,PHI,71,16.7,6.6,5.6,4.6,1,16.2,4.6,5.1,6.1,1.5,0,0,2,23.8,44.2,98.5,0.978680203,0.088687795
34,Aron Baynes,C,30,Detroit Pistons,DET,1163,11.3,1,4.4,2.4,0,8.6,1.5,2.9,10.3,3.4,1.2,0.5,5.1,21.1,44.9,95,1.014736842,0.008149389
35,Kent Bazemore,SF,27,Atlanta Hawks,ATL,1963,14.7,3.2,5.4,2.2,1.7,13.2,2.3,3.1,4.2,0.8,1,1.7,3,23.6,45.1,97.4,0.98973306,0.004435508
36,Bradley Beal,SG,23,Washington Wizards,WAS,2684,23.9,3.6,8.5,3.8,3,17.7,2.1,4.6,3.2,0.7,0.3,1.1,2.3,23.9,47.5,97.4,0.98973306,0.005437584
37,Malik Beasley,SG,20,Denver Nuggets,DEN,165,18.1,2.4,7.2,1.7,2,15.9,1.7,2.2,3.7,1.1,0,1.5,2.2,25.3,46.9,98.3,0.980671414,0.062547237
38,Michael Beasley,PF,28,Milwaukee Bucks,MIL,935,20.3,2,8.3,3,0.7,15.6,2.5,4,7.4,1.5,1,1,3.5,24.2,47.4,94.5,1.02010582,0.014153692
39,Marco Belinelli,SG,30,Charlotte Hornets,CHO,1778,15.8,3,5.3,3,2.1,12.5,1.4,3.4,3.6,0.3,0.2,0.9,1.8,23.1,44.2,95.7,1.007314525,0.0054532
40,DeAndre' Bembry,SF,22,Atlanta Hawks,ATL,371,9.8,2.7,4.6,0.6,0.1,9.5,1.6,1.6,5.7,1.4,0.5,0.8,2,23.6,45.1,97.4,0.98973306,0.018942464
41,Dragan Bender,PF,19,Phoenix Suns,PHO,574,9.2,1.4,3.6,0.3,1.8,10.1,2,0.7,6.5,1.4,1.4,0.6,4.6,19.6,45,100.3,0.96111665,0.00751585
42,Anthony Bennett,PF,23,Brooklyn Nets,BRK,264,15.7,1.6,5.2,3.5,1.8,12.5,1.6,4.9,10.6,3.4,0.4,0.7,2.5,21.4,44.4,101.3,0.951628825,0.040574239
43,Ben Bentil,PF,21,Dallas Mavericks,DAL,10,0,0,0,0,0,10.8,3.6,0,7.2,0,0,0,3.6,20.8,44,92.2,1.045553145,0
44,Davis Bertans,PF,24,San Antonio Spurs,SAS,808,13.5,2,4.6,1.2,3.1,10.4,1.4,1.5,4.4,1,1.2,0.9,3.3,23.8,46.9,94.2,1.023354565,0.012100028
45,Patrick Beverley,SG,28,Houston Rockets,HOU,2058,11.2,4.9,4,1.3,1.9,9.5,1.7,1.7,6.9,1.7,0.4,1.7,3.9,25.2,46.2,100,0.964,0.004749509
46,Bismack Biyombo,C,24,Orlando Magic,ORL,1793,9.7,1.5,3.6,2.5,0,6.8,1.9,4.7,11.4,3.2,1.8,0.5,4.1,22.2,44,96.8,0.995867769,0.004987141
47,Nemanja Bjelica,PF,28,Minnesota Timberwolves,MIN,1190,12.2,2.4,4.6,1.4,1.7,10.8,1.8,1.8,7.4,1.7,0.6,1.2,4.7,23.7,46.7,94.6,1.019027484,0.007066433
48,Tarik Black,C,25,Los Angeles Lakers,LAL,1091,12.6,1.3,4.9,2.7,0,9.7,1.9,3.6,11.3,4.8,1.5,1,5.7,20.9,45,98.5,0.978680203,0.01002791
49,Eric Bledsoe,PG,27,Phoenix Suns,PHO,2176,23,6.9,7.4,6.4,1.7,17.1,3.7,7.6,5.3,0.9,0.5,1.5,2.7,19.6,45,100.3,0.96111665,0.006627645
50,Bojan Bogdanovic,SF,27,Washington Wizards,WAS,601,19.8,1.3,6.4,4.3,2.7,14,2.3,4.6,4.8,0.8,0.2,0.6,2.8,23.9,47.5,97.4,0.98973306,0.017586733
