"","Ranking","team","Shot_overall","Hit_overall","Hit rate_overall","Shot_3point","Hit_3point","Hit rate_3point","Shot_freethrow","Hit_freethrow","Hit rate_freethrow","attack_Rebounds","Defensive_Rebounds","Total rebounds","Assists","Mistakes","Steals","Cap","Foul","Average points","Home_Guest"
"38",8,"Phoenix Suns",3638,1660,45.6,949,321,33.8,1084,856,79,12.4,34.3,46.7,20,15,7.8,5.6,24.4,109.7,"Home"
"39",9,"LA Clippers",3380,1636,48.4,1103,407,36.9,1085,816,75.2,8.9,34.5,43.4,23.4,12.5,8.2,4.5,19.6,109.6,"Home"
"40",10,"Boston Celtics",3516,1602,45.6,1376,518,37.6,946,768,81.2,9.9,33.4,43.2,26.8,13.4,7.6,4.6,19.5,109.5,"Home"
"41",11,"Oklahoma Thunder",3574,1676,46.9,1041,355,34.1,1059,784,74,11.6,35.2,46.8,21.7,14.7,8,4.9,20,109.5,"Home"
"42",12,"New Orleans Pelicans",3607,1642,45.5,1155,402,34.8,946,727,76.8,8.7,36.5,45.2,23.7,11.8,8,6.1,18.2,107.6,"Home"
"43",13,"LA Lakers",3577,1660,46.4,1048,381,36.4,942,709,75.3,11.5,32.5,44,22,13.9,8.2,3.7,19.9,107.6,"Home"
"44",14,"Indiana Pacers",3493,1653,47.3,944,360,38.1,885,717,81,8.7,33.8,42.4,21.7,12.3,8.1,5.8,18.8,106.9,"Home"
"45",15,"Charlotte Hornets",3487,1564,44.9,1167,409,35,1046,833,79.6,9,35,43.9,24.1,10,6.8,5.3,15.8,106.6,"Home"
"46",16,"Minnesota Timberwolves",3413,1617,47.4,880,323,36.7,1025,813,79.3,11.2,31.6,42.8,24.5,13.8,8.1,4.4,20.5,106.6,"Home"
"47",17,"Miami Heat",3490,1642,47,1131,431,38.1,941,650,69.1,9.9,33.8,43.6,21.1,13,7,5.8,20.5,106.5,"Home"
"48",18,"Milwaukee Bucks",3364,1613,47.9,951,355,37.3,978,767,78.4,8.5,31.2,39.7,24.4,13,8.7,5.1,20.3,106,"Home"
"49",19,"Atlanta Hawks",3502,1600,45.7,1060,363,34.2,1074,780,72.6,11,33.2,44.2,24.7,15.2,8.5,4.8,18.5,105.9,"Home"
"50",20,"San Antonio Spurs",3408,1612,47.3,971,391,40.3,907,716,78.9,9.3,34.3,43.6,25.5,13,8.2,6.1,17.7,105.6,"Home"
"51",21,"Sacramento Kings",3332,1567,47,1006,389,38.7,983,784,79.8,8,32.4,40.4,22.6,14.3,7.7,3.7,20.1,105,"Home"
"52",22,"New York Knickerbockers",3568,1649,46.2,1008,360,35.7,825,642,77.8,11.8,33,44.8,21.6,13.5,7.2,5.5,19.6,104.9,"Home"
"53",23,"Brooklyn Nets",3518,1534,43.6,1309,435,33.2,989,777,78.6,9.6,35.5,45,21.1,16.2,7.1,4.9,20.9,104.4,"Home"
"54",24,"Chicago Bulls",3610,1583,43.9,877,305,34.8,967,782,80.9,13,34.1,47,23.7,12.4,8.3,5,17.4,103.7,"Home"
"55",25,"Detroit Pistons",3654,1660,45.4,947,332,35.1,809,570,70.5,11.1,36.1,47.2,22.9,11.4,7.3,3.7,17.9,103,"Home"
"56",26,"Philadelphia 76ers",3462,1529,44.2,1237,427,34.5,917,713,77.8,9.6,33.7,43.3,24.8,15.8,7.9,5.5,21.6,102.4,"Home"
"57",27,"Utah Jazz",3203,1501,46.9,1083,418,38.6,977,726,74.3,8.9,34.3,43.2,19.8,12.9,6.8,4.8,18.4,101.1,"Home"
"58",28,"Orlando Magic",3545,1542,43.5,1041,343,32.9,918,682,74.3,10.4,33.9,44.3,21.6,12.5,6.9,5.2,19.1,100.2,"Home"
"59",29,"Dallas Mavericks",3359,1487,44.3,1203,432,35.9,813,668,82.2,8.1,32.4,40.5,20.8,11.5,7.6,3.8,18.3,99.4,"Home"
"60",30,"Memphis Grizzlies",3413,1459,42.7,1039,367,35.3,997,784,78.6,11.5,32.7,44.1,21.1,12.8,7.9,5,22.4,99.2,"Home"
