"","TEAM","GP","W","L","WIN%","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","+/-"
"20","Orlando Magic",41,13,28,0.317,48.4,101.9,39,87.5,44.5,8.7,26.8,32.6,15.3,20.4,75.1,9.3,32.8,42.1,22.8,13.8,7.2,4.4,5.5,19.5,18.4,-9.6
"21","Detroit Pistons",41,13,28,0.317,48.4,99.7,39.2,88.5,44.3,7.3,23.6,30.9,13.9,19,73.4,11,33.1,44.2,19.4,11.8,6.7,3.8,4,17.9,17,-6.3
"22","Indiana Pacers",41,13,28,0.317,48.5,103.3,38.2,83.9,45.6,8.5,23,37.1,18.3,22.6,81,9.4,32.1,41.6,23.2,14.8,8.3,4.1,4.4,20.2,19.4,-5.7
"23","New Orleans Pelicans",41,13,28,0.317,48.5,101,38.2,85.9,44.5,8.9,25.4,35.2,15.6,21.4,72.9,8.4,33.7,42.1,21.9,13.5,7.6,5,4.1,18.1,18.9,-4.8
"24","Dallas Mavericks",41,12,29,0.293,48.1,96.5,36.1,82.7,43.7,10.9,31,35.1,13.3,17.1,77.8,7.7,29,36.6,20.8,11.6,7.4,3.7,3.6,19.9,18.7,-7.3
"25","New York Knicks",41,12,29,0.293,48.7,103.8,38.9,89.9,43.3,8.4,24.7,33.9,17.6,22.1,79.7,12.2,33.4,45.6,22,13.7,7,5.6,5,21.1,18.7,-5.8
"26","Philadelphia 76ers",41,11,30,0.268,48.4,102.5,38,86.1,44.2,9.9,29.4,33.5,16.6,21.7,76.5,10.1,32.3,42.4,22.7,16.8,9,4.8,6,22.1,18.9,-7.8
"27","Minnesota Timberwolves",41,11,30,0.268,48.4,104.6,39.5,85.6,46.1,6.8,20.5,33.1,18.9,23.4,80.4,11.6,30.4,42,22.8,13.7,7.9,4.6,6,19.6,19.5,-5.1
"28","Phoenix Suns",41,9,32,0.22,48.4,105.7,39.3,88.3,44.5,7.2,22.1,32.5,20,26.2,76.3,11.4,31.9,43.3,19.1,15.4,8.6,4.2,5.5,25.1,21.7,-9
"29","Los Angeles Lakers",41,9,32,0.22,48,101.6,38.1,87.5,43.6,8.5,25.9,32.9,16.8,22.2,75.5,11.3,31.8,43.1,19.8,15.8,8.2,4.1,5.4,21.5,18.6,-12.2
"30","Brooklyn Nets",41,7,34,0.171,48,107.1,38.2,84.6,45.2,10.8,31.3,34.5,19.9,25.1,79,8,34.7,42.8,21.8,16.3,7.4,4.6,5.8,21.2,20,-7.9
